epoch,filter_index,l2,delta_l2
4,60,0.842648,0.021018
4,61,0.789894,0.025815
4,62,0.852342,0.018481
4,63,0.834338,0.014826
4,64,0.840049,0.015363
4,65,0.867524,0.025619
4,66,0.843086,0.025673
4,67,0.860604,0.024835
4,68,0.821920,0.018805
4,69,0.817546,0.020830
4,70,0.847623,0.020533
4,71,0.838077,0.024876
4,72,0.837378,0.017246
4,73,0.784801,0.025688
4,74,0.833947,0.019849
4,75,0.815601,0.016152
4,76,0.848657,0.019577
4,77,0.815140,0.021522
4,78,0.835838,0.019478
4,79,0.780046,0.020796
4,80,0.818257,0.018678
4,81,0.778690,0.013238
4,82,0.799439,0.020245
4,83,0.837619,0.017872
4,84,0.823569,0.018862
4,85,0.780147,0.020784
4,86,0.834421,0.026195
4,87,0.795776,0.025133
4,88,0.836102,0.020428
4,89,0.831260,0.015441
4,90,0.838604,0.013632
4,91,0.819129,0.016567
4,92,0.800199,0.016419
4,93,0.812575,0.025878
4,94,0.873924,0.016715
4,95,0.814961,0.026764
4,96,0.861537,0.024993
4,97,0.852232,0.019396
4,98,0.838823,0.018411
4,99,0.805010,0.018604
4,100,0.799942,0.022417
4,101,0.842486,0.026208
4,102,0.775426,0.026448
4,103,0.858433,0.024662
4,104,0.834484,0.016381
4,105,0.790405,0.020198
4,106,0.799313,0.020986
4,107,0.780063,0.018326
4,108,0.845282,0.019594
4,109,0.828902,0.018402
4,110,0.803938,0.024493
4,111,0.868277,0.024922
4,112,0.821590,0.017902
4,113,0.833767,0.019696
4,114,0.778668,0.026660
4,115,0.806179,0.019938
4,116,0.825536,0.019318
4,117,0.815121,0.025511
4,118,0.777653,0.020225
4,119,0.799946,0.017614
4,120,0.836019,0.024457
4,121,0.805707,0.024833
4,122,0.821509,0.025688
4,123,0.804363,0.017443
4,124,0.824889,0.017107
4,125,0.804380,0.018180
4,126,0.817369,0.017512
4,127,0.871422,0.015797
5,0,0.824512,0.025195
5,1,0.859052,0.024571
5,2,0.870887,0.015349
5,3,0.786590,0.024224
5,4,0.818961,0.018780
5,5,0.804357,0.021734
5,6,0.780433,0.018006
5,7,0.831236,0.024816
5,8,0.876143,0.020356
5,9,0.800615,0.014826
5,10,0.798095,0.024456
5,11,0.861015,0.017373
5,12,0.818342,0.014932
5,13,0.861849,0.015461
5,14,0.757934,0.021043
5,15,0.846081,0.013667
5,16,0.841288,0.021559
5,17,0.778718,0.019832
5,18,0.836554,0.025134
5,19,0.838576,0.022177
5,20,0.820584,0.014389
5,21,0.834700,0.017365
5,22,0.830507,0.019871
5,23,0.777356,0.015356
5,24,0.790740,0.026241
5,25,0.812579,0.009767
5,26,0.831944,0.021950
5,27,0.812860,0.022271
5,28,0.829657,0.015654
5,29,0.809615,0.014511
5,30,0.808613,0.023733
5,31,0.855072,0.023239
5,32,0.849093,0.023662
5,33,0.819042,0.023625
5,34,0.826378,0.017467
5,35,0.800397,0.013595
5,36,0.779506,0.015164
5,37,0.740756,0.025153
5,38,0.784097,0.016352
5,39,0.824441,0.015029
5,40,0.821616,0.016297
5,41,0.814466,0.022535
5,42,0.843195,0.017168
5,43,0.804500,0.014964
5,44,0.847286,0.017955
5,45,0.808047,0.023875
5,46,0.820191,0.014639
5,47,0.812786,0.024586
5,48,0.809253,0.013535
5,49,0.820755,0.017038
5,50,0.830398,0.017682
5,51,0.844739,0.022805
5,52,0.778362,0.011666
5,53,0.749716,0.019202
5,54,0.825834,0.022929
5,55,0.794105,0.024514
5,56,0.809541,0.020756
5,57,0.819702,0.010684
5,58,0.768098,0.019874
5,59,0.796468,0.024877
5,60,0.845063,0.018093
5,61,0.793296,0.025022
5,62,0.854132,0.016222
5,63,0.835418,0.015041
5,64,0.840443,0.013125
5,65,0.870849,0.024586
5,66,0.846537,0.024626
5,67,0.865079,0.022963
5,68,0.823718,0.017835
5,69,0.819879,0.020006
5,70,0.849137,0.018146
5,71,0.843729,0.023477
5,72,0.837920,0.016767
5,73,0.787569,0.024826
5,74,0.834177,0.017340
5,75,0.817868,0.014030
5,76,0.850977,0.016755
5,77,0.815631,0.018544
5,78,0.837810,0.016190
5,79,0.780868,0.018068
5,80,0.819605,0.015429
5,81,0.779395,0.011825
5,82,0.802573,0.017115
5,83,0.840516,0.014535
5,84,0.826285,0.015854
5,85,0.782252,0.018130
5,86,0.835671,0.026110
5,87,0.799821,0.023747
5,88,0.836926,0.017622
5,89,0.832209,0.014376
5,90,0.839001,0.011742
5,91,0.820504,0.016207
5,92,0.798760,0.017013
5,93,0.814151,0.025112
5,94,0.876588,0.013617
